filename,class
data_813.jpg,Jute Stem Weevil
data_6274.jpg,Mealybug
data_2317.jpg,Black Hairy
data_2124.jpg,Termite
data_5974.jpg,Jute Aphid
data_4301.jpg,Termite odontotermes (Rambur)
data_1627.jpg,Jute Stem Girdler
data_692.jpg,Jute Stem Weevil
data_6117.jpg,Mealybug
data_5974_rotated_90.jpg,Jute Aphid
data_6250.jpg,Mealybug
data_813_rotated_90.jpg,Jute Stem Weevil
data_4976.jpg,Yellow Mite
data_929.jpg,Jute Stem Weevil
data_6274_rotated_90.jpg,Mealybug
data_2317_rotated_90.jpg,Black Hairy
data_2124_rotated_90.jpg,Termite
data_4301_rotated_90.jpg,Termite odontotermes (Rambur)
data_3102.jpg,Pod Borer
data_813_rotated_180.jpg,Jute Stem Weevil
data_1627_rotated_90.jpg,Jute Stem Girdler
data_6250_rotated_90.jpg,Mealybug
data_692_rotated_90.jpg,Jute Stem Weevil
data_6274_rotated_180.jpg,Mealybug
data_929_rotated_90.jpg,Jute Stem Weevil
data_4976_rotated_90.jpg,Yellow Mite
data_6117_rotated_90.jpg,Mealybug
data_5974_rotated_180.jpg,Jute Aphid
data_4301_rotated_180.jpg,Termite odontotermes (Rambur)
data_2124_rotated_180.jpg,Termite
data_3102_rotated_90.jpg,Pod Borer
data_2317_rotated_180.jpg,Black Hairy
data_134.jpg,Leaf Beetle
data_1627_rotated_180.jpg,Jute Stem Girdler
data_6274_rotated_270.jpg,Mealybug
data_692_rotated_180.jpg,Jute Stem Weevil
data_813_rotated_270.jpg,Jute Stem Weevil
data_2124_rotated_270.jpg,Termite
data_4976_rotated_180.jpg,Yellow Mite
data_3102_rotated_180.jpg,Pod Borer
data_6250_rotated_180.jpg,Mealybug
data_5974_rotated_270.jpg,Jute Aphid
data_929_rotated_180.jpg,Jute Stem Weevil
data_134_rotated_90.jpg,Leaf Beetle
data_2317_rotated_270.jpg,Black Hairy
data_6117_rotated_180.jpg,Mealybug
data_692_rotated_270.jpg,Jute Stem Weevil
data_5684.jpg,Jute Aphid
data_3102_rotated_270.jpg,Pod Borer
data_4301_rotated_270.jpg,Termite odontotermes (Rambur)
data_6250_rotated_270.jpg,Mealybug
data_1627_rotated_270.jpg,Jute Stem Girdler
data_5684_rotated_90.jpg,Jute Aphid
data_4872.jpg,Yellow Mite
data_134_rotated_180.jpg,Leaf Beetle
data_6552.jpg,Beet Armyworm
data_4976_rotated_270.jpg,Yellow Mite
data_3151.jpg,Pod Borer
data_1729.jpg,Jute Stem Girdler
data_4581.jpg,Jute Hairy
data_5684_rotated_180.jpg,Jute Aphid
data_134_rotated_270.jpg,Leaf Beetle
data_929_rotated_270.jpg,Jute Stem Weevil
data_3151_rotated_90.jpg,Pod Borer
data_1729_rotated_90.jpg,Jute Stem Girdler
data_6117_rotated_270.jpg,Mealybug
data_6552_rotated_90.jpg,Beet Armyworm
data_4872_rotated_90.jpg,Yellow Mite
data_4581_rotated_90.jpg,Jute Hairy
data_5684_rotated_270.jpg,Jute Aphid
data_1729_rotated_180.jpg,Jute Stem Girdler
data_3151_rotated_180.jpg,Pod Borer
data_1729_rotated_270.jpg,Jute Stem Girdler
data_4581_rotated_180.jpg,Jute Hairy
data_6552_rotated_180.jpg,Beet Armyworm
data_4872_rotated_180.jpg,Yellow Mite
data_3151_rotated_270.jpg,Pod Borer
data_4581_rotated_270.jpg,Jute Hairy
data_2332.jpg,Black Hairy
data_5474.jpg,Jute Aphid
data_6552_rotated_270.jpg,Beet Armyworm
data_1991.jpg,Termite
data_5692.jpg,Jute Aphid
data_6481.jpg,Jute Stem Weevil
data_4872_rotated_270.jpg,Yellow Mite
data_6236.jpg,Mealybug
data_6948.jpg,Jute Stem Girdler
data_1742.jpg,Jute Stem Girdler
data_2332_rotated_90.jpg,Black Hairy
data_1991_rotated_90.jpg,Termite
data_6853.jpg,Mealybug
data_5561.jpg,Jute Aphid
data_5474_rotated_90.jpg,Jute Aphid
data_5692_rotated_90.jpg,Jute Aphid
data_4458.jpg,Jute Hairy
data_6236_rotated_90.jpg,Mealybug
data_3302.jpg,Pod Borer
data_6481_rotated_90.jpg,Jute Stem Weevil
data_6948_rotated_90.jpg,Jute Stem Girdler
data_1742_rotated_90.jpg,Jute Stem Girdler
data_1991_rotated_180.jpg,Termite
data_2332_rotated_180.jpg,Black Hairy
data_5474_rotated_180.jpg,Jute Aphid
data_5561_rotated_90.jpg,Jute Aphid
data_5692_rotated_180.jpg,Jute Aphid
data_6481_rotated_180.jpg,Jute Stem Weevil
data_4458_rotated_90.jpg,Jute Hairy
data_3302_rotated_90.jpg,Pod Borer
data_6236_rotated_180.jpg,Mealybug
data_6948_rotated_180.jpg,Jute Stem Girdler
data_1991_rotated_270.jpg,Termite
data_1742_rotated_180.jpg,Jute Stem Girdler
data_5474_rotated_270.jpg,Jute Aphid
data_6481_rotated_270.jpg,Jute Stem Weevil
data_5692_rotated_270.jpg,Jute Aphid
data_2332_rotated_270.jpg,Black Hairy
data_5561_rotated_180.jpg,Jute Aphid
