filename,class
data_813.jpg,Jute Stem Weevil
data_6274.jpg,Mealybug
data_2317.jpg,Black Hairy
data_2124.jpg,Termite
data_5974.jpg,Jute Aphid
data_4301.jpg,Termite odontotermes (Rambur)
data_1627.jpg,Jute Stem Girdler
data_692.jpg,Jute Stem Weevil
data_6117.jpg,Mealybug
data_6250.jpg,Mealybug
data_4976.jpg,Yellow Mite
data_929.jpg,Jute Stem Weevil
data_3102.jpg,Pod Borer
data_134.jpg,Leaf Beetle
data_5684.jpg,Jute Aphid
data_4872.jpg,Yellow Mite
data_6552.jpg,Beet Armyworm
data_3151.jpg,Pod Borer
data_1729.jpg,Jute Stem Girdler
data_4581.jpg,Jute Hairy
data_2332.jpg,Black Hairy
data_5474.jpg,Jute Aphid
data_1991.jpg,Termite
data_5692.jpg,Jute Aphid
data_6481.jpg,Jute Stem Weevil
data_6236.jpg,Mealybug
data_6948.jpg,Jute Stem Girdler
data_1742.jpg,Jute Stem Girdler
data_6853.jpg,Mealybug
data_5561.jpg,Jute Aphid
data_4458.jpg,Jute Hairy
data_3302.jpg,Pod Borer
data_316.jpg,Jute Stem Weevil
data_1629.jpg,Jute Stem Girdler
data_6431.jpg,Mealybug
data_548.jpg,Jute Stem Weevil
data_2568.jpg,Jute Red Mite
data_3829.jpg,Field Cricket
data_1573.jpg,Beet Armyworm
data_6055.jpg,Mealybug
data_2889.jpg,Jute Red Mite
data_388.jpg,Jute Stem Weevil
data_3430.jpg,Jute Semilooper
data_7160.jpg,Yellow Mite
data_5069.jpg,Yellow Mite
data_5232.jpg,Scopula Emissaria
data_4801.jpg,Yellow Mite
data_7211.jpg,Jute Aphid
data_499.jpg,Jute Stem Weevil
data_5430.jpg,Scopula Emissaria
data_3349.jpg,Jute Semilooper
data_5543.jpg,Jute Aphid
data_5724.jpg,Jute Aphid
data_4235.jpg,Termite odontotermes (Rambur)
data_4574.jpg,Jute Hairy
data_6113.jpg,Mealybug
data_243.jpg,Leaf Beetle
data_1568.jpg,Beet Armyworm
data_4597.jpg,Jute Hairy
data_915.jpg,Jute Stem Weevil
data_6283.jpg,Mealybug
data_4265.jpg,Termite odontotermes (Rambur)
data_5103.jpg,Yellow Mite
data_5663.jpg,Jute Aphid
data_3211.jpg,Pod Borer
data_874.jpg,Jute Stem Weevil
data_232.jpg,Leaf Beetle
data_179.jpg,Leaf Beetle
data_3418.jpg,Jute Semilooper
data_1116.jpg,Cutworm
data_6924.jpg,Cutworm
data_4387.jpg,Jute Hairy
data_4362.jpg,Termite odontotermes (Rambur)
data_198.jpg,Leaf Beetle
data_3860.jpg,Field Cricket
data_3436.jpg,Jute Semilooper
data_7207.jpg,Jute Aphid
data_2866.jpg,Jute Red Mite
data_3577.jpg,Jute Semilooper
data_1150.jpg,Cutworm
data_1768.jpg,Jute Stem Girdler
data_3590.jpg,Jute Semilooper
data_1710.jpg,Jute Stem Girdler
data_2450.jpg,Black Hairy
data_4306.jpg,Termite odontotermes (Rambur)
data_4317.jpg,Termite odontotermes (Rambur)
data_2164.jpg,Black Hairy
data_5115.jpg,Yellow Mite
data_4280.jpg,Termite odontotermes (Rambur)
data_5308.jpg,Scopula Emissaria
data_1486.jpg,Beet Armyworm
data_2369.jpg,Black Hairy
data_6176.jpg,Mealybug
data_5021.jpg,Yellow Mite
data_6270.jpg,Mealybug
data_1479.jpg,Beet Armyworm
data_3178.jpg,Pod Borer
data_3248.jpg,Pod Borer
data_6970.jpg,Termite
data_425.jpg,Jute Stem Weevil
data_5806.jpg,Jute Aphid
data_7078.jpg,Field Cricket
data_7130.jpg,Jute Hairy
data_3334.jpg,Jute Semilooper
data_1417.jpg,Beet Armyworm
data_6848.jpg,Mealybug
data_3616.jpg,Jute Semilooper
data_3152.jpg,Pod Borer
data_6219.jpg,Mealybug
data_2005.jpg,Termite
data_2100.jpg,Termite
data_2518.jpg,Jute Red Mite
data_4742.jpg,Jute Hairy
data_2974.jpg,Pod Borer
data_1906.jpg,Termite
data_5873.jpg,Jute Aphid
data_1440.jpg,Beet Armyworm
data_5438.jpg,Scopula Emissaria
data_6448.jpg,Leaf Beetle
data_5454.jpg,Jute Aphid
data_2227.jpg,Black Hairy
data_1634.jpg,Jute Stem Girdler
data_714.jpg,Jute Stem Weevil
data_4615.jpg,Jute Hairy
data_5734.jpg,Jute Aphid
data_3611.jpg,Jute Semilooper
data_4566.jpg,Jute Hairy
data_188.jpg,Leaf Beetle
data_1673.jpg,Jute Stem Girdler
data_5497.jpg,Jute Aphid
data_1683.jpg,Jute Stem Girdler
data_4.jpg,Leaf Beetle
data_711.jpg,Jute Stem Weevil
data_3081.jpg,Pod Borer
data_2658.jpg,Jute Red Mite
data_2785.jpg,Jute Red Mite
data_2601.jpg,Jute Red Mite
data_7058.jpg,Jute Semilooper
data_5685.jpg,Jute Aphid
data_5142.jpg,Scopula Emissaria
data_2007.jpg,Termite
data_6901.jpg,Jute Stem Weevil
data_6034.jpg,Mealybug
data_2979.jpg,Pod Borer
data_4499.jpg,Jute Hairy
